<bound method Module.state_dict of NormalizedCrossEntropyLoss_REVISED(
  (reduction): SimpleCNN(
    (conv_layers): Sequential(
      (0): Conv2d(3, 32, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
      (1): BatchNorm2d(32, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (2): ReLU()
      (3): Conv2d(32, 32, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
      (4): BatchNorm2d(32, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (5): ReLU()
      (6): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)
      (7): Conv2d(32, 64, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
      (8): BatchNorm2d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (9): ReLU()
      (10): Conv2d(64, 64, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
      (11): BatchNorm2d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (12): ReLU()
      (13): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)
      (14): Conv2d(64, 128, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
      (15): BatchNorm2d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (16): ReLU()
      (17): Conv2d(128, 128, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
      (18): BatchNorm2d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (19): ReLU()
      (20): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)
    )
    (fc_layers): Sequential(
      (0): Flatten(start_dim=1, end_dim=-1)
      (1): Linear(in_features=2048, out_features=256, bias=True)
      (2): ReLU()
      (3): Dropout(p=0.5, inplace=False)
      (4): Linear(in_features=256, out_features=10, bias=True)
    )
  )
  (cross_entropy): CrossEntropyLoss()
)>

<bound method Optimizer.state_dict of AdamW (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    differentiable: False
    eps: 1e-08
    foreach: None
    fused: None
    initial_lr: 0.001
    lr: 0.0005005000000000003
    maximize: False
    weight_decay: 0.01
)>

{'T_max': 200, 'eta_min': 1e-06, 'base_lrs': [0.001], 'last_epoch': 100, 'verbose': False, '_step_count': 101, '_get_lr_called_within_step': False, '_last_lr': [0.0005005000000000003]}


Key Info:
Noise Rate: 0.5000 
Train Time: 2390.569390s 
Transforms: HOR_FLIP ROT_10 NORM 
Loss(<class '__main__.NormalizedCrossEntropyLoss_REVISED'>) 
Optimizer(<class 'torch.optim.adamw.AdamW'>) 
Scheduler(<class 'torch.optim.lr_scheduler.CosineAnnealingLR'>)


Epoch 0 | Train Accuracy: 0.1371 | Train Loss: 1.0056 | Test Loss: 0.9657 | Test Accuracy: 0.2878
Epoch 1 | Train Accuracy: 0.1581 | Train Loss: 0.9888 | Test Loss: 0.9468 | Test Accuracy: 0.3461
Epoch 2 | Train Accuracy: 0.1669 | Train Loss: 0.9851 | Test Loss: 0.9340 | Test Accuracy: 0.3893
Epoch 3 | Train Accuracy: 0.1772 | Train Loss: 0.9828 | Test Loss: 0.9318 | Test Accuracy: 0.3818
Epoch 4 | Train Accuracy: 0.1830 | Train Loss: 0.9801 | Test Loss: 0.9239 | Test Accuracy: 0.3723
Epoch 5 | Train Accuracy: 0.1929 | Train Loss: 0.9780 | Test Loss: 0.9069 | Test Accuracy: 0.4725
Epoch 6 | Train Accuracy: 0.1954 | Train Loss: 0.9762 | Test Loss: 0.9117 | Test Accuracy: 0.5080
Epoch 7 | Train Accuracy: 0.2040 | Train Loss: 0.9748 | Test Loss: 0.9141 | Test Accuracy: 0.5051
Epoch 8 | Train Accuracy: 0.2092 | Train Loss: 0.9736 | Test Loss: 0.9113 | Test Accuracy: 0.4859
Epoch 9 | Train Accuracy: 0.2123 | Train Loss: 0.9725 | Test Loss: 0.8966 | Test Accuracy: 0.5522
Epoch 10 | Train Accuracy: 0.2132 | Train Loss: 0.9720 | Test Loss: 0.8948 | Test Accuracy: 0.5463
Epoch 11 | Train Accuracy: 0.2199 | Train Loss: 0.9703 | Test Loss: 0.9106 | Test Accuracy: 0.4814
Epoch 12 | Train Accuracy: 0.2177 | Train Loss: 0.9707 | Test Loss: 0.9001 | Test Accuracy: 0.5421
Epoch 13 | Train Accuracy: 0.2205 | Train Loss: 0.9688 | Test Loss: 0.8833 | Test Accuracy: 0.5889
Epoch 14 | Train Accuracy: 0.2230 | Train Loss: 0.9683 | Test Loss: 0.8938 | Test Accuracy: 0.5703
Epoch 15 | Train Accuracy: 0.2284 | Train Loss: 0.9668 | Test Loss: 0.8933 | Test Accuracy: 0.5982
Epoch 16 | Train Accuracy: 0.2343 | Train Loss: 0.9656 | Test Loss: 0.8805 | Test Accuracy: 0.6149
Epoch 17 | Train Accuracy: 0.2366 | Train Loss: 0.9664 | Test Loss: 0.8811 | Test Accuracy: 0.6232
Epoch 18 | Train Accuracy: 0.2397 | Train Loss: 0.9643 | Test Loss: 0.8710 | Test Accuracy: 0.6378
Epoch 19 | Train Accuracy: 0.2428 | Train Loss: 0.9635 | Test Loss: 0.8867 | Test Accuracy: 0.6304
Epoch 20 | Train Accuracy: 0.2424 | Train Loss: 0.9627 | Test Loss: 0.8704 | Test Accuracy: 0.6225
Epoch 21 | Train Accuracy: 0.2446 | Train Loss: 0.9618 | Test Loss: 0.8803 | Test Accuracy: 0.6446
Epoch 22 | Train Accuracy: 0.2470 | Train Loss: 0.9612 | Test Loss: 0.8640 | Test Accuracy: 0.6478
